garbage,sewage,complaints,population,risk_level,hospital_access,vaccination_rate
79,54,80,6696,medium,0,0.48793736823932066
78,83,9,3956,medium,1,0.10551873829289349
23,35,5,2245,medium,1,0.025976323885215313
78,66,89,8953,medium,0,0.3771072236215576
12,29,22,5825,medium,1,0.517183173592185
74,27,24,5129,medium,0,0.6377935059690794
48,90,92,2903,medium,0,0.11054243756856952
79,82,17,2161,medium,1,0.6010062936398317
50,56,23,1185,medium,1,0.9705516123193112
55,70,2,8910,medium,1,0.34712082568305713
29,84,34,6062,medium,1,0.9148620251962996
96,60,50,1258,medium,0,0.45833335435146016
53,26,79,7351,medium,1,0.8831371430478399
23,51,27,3419,medium,0,0.4625484157270151
23,51,27,3419,medium,0,0.49815690118824285
74,27,24,5129,medium,0,0.999412812388505
75,8,66,2414,medium,0,0.03526063169011584
83,7,60,7170,medium,0,0.4726148713184606
48,58,94,8644,medium,0,0.9315809202879273
67,94,32,2555,medium,1,0.025374601074209857
25,70,89,6526,medium,1,0.16961480660716122
32,79,62,5840,medium,0,0.7822055528152299
50,56,23,1185,medium,0,0.02169622909860902
1,7,74,6435,medium,0,0.6883168874087404
70,3,71,5967,medium,0,0.4036285772331648
51,85,99,2183,medium,0,0.7488121270937514
54,26,98,1319,medium,0,0.4056994607829125
0,2,63,9711,medium,0,0.26462194100903114
29,84,34,6062,medium,1,0.5809866870841854
74,42,79,4810,medium,1,0.1492733255541987
31,72,37,4879,medium,1,0.06804585251725759
96,31,35,9080,medium,0,0.834903990794976
42,3,29,2949,medium,0,0.1352307145137721
24,95,84,4766,medium,1,0.2126441298309134
45,22,4,6837,medium,1,0.020704314159926906
96,31,35,9080,medium,0,0.8449041194072081
79,82,17,2161,medium,1,0.24919416902490854
17,12,76,8410,medium,1,0.3438840584417384
56,93,99,3770,medium,1,0.11411034397567865
1,24,46,6790,medium,0,0.17121122344748196
75,58,59,3093,medium,1,0.851890298432677
4,32,14,4621,high,1,0.809063454316082
41,32,29,4164,high,0,0.8796312928340188
96,93,88,5997,high,0,0.8588234410592145
72,93,88,9283,high,1,0.5525793789488085
16,80,82,9640,high,1,0.9358868516503229
48,9,8,1023,high,1,0.987215583620847
27,2,2,1574,high,0,0.042601654911387565
20,64,92,6423,high,1,0.7132860479439599
64,2,78,3356,high,0,0.14529454819257626
89,68,4,4033,high,0,0.4970777194436412
46,27,50,9422,high,0,0.9183660298440242
80,8,43,1756,high,0,0.2951040328389235
34,45,39,7859,high,1,0.99537371872303
80,51,72,6592,high,0,0.9138313413601543
10,57,54,1120,high,0,0.822811357603959
37,49,69,5062,high,1,0.17356660340056307
10,59,65,4853,high,0,0.19909974683559073
40,80,19,9759,high,0,0.19709847050678087
89,68,4,4033,high,0,0.6556587889486505
83,0,86,6249,high,0,0.4170143771179806
61,22,40,8248,high,1,0.6632795588965158
10,11,75,1056,high,1,0.12321215949820785
30,59,44,1869,high,0,0.46072541201564066
82,53,0,6497,high,1,0.29082767099222895
72,62,17,8494,high,1,0.5810170455998949
38,62,18,4093,high,1,0.7699558358910351
34,45,39,7859,high,1,0.46680413865322745
78,82,93,6063,high,1,0.26682328824724577
74,85,60,7200,high,0,0.9150232225272098
22,1,66,6315,high,0,0.5942614372439904
47,68,61,1292,high,0,0.2753850181780785
86,55,44,3456,high,0,0.4867683594030432
46,77,80,4676,high,0,0.8549476444116644
3,13,41,4996,high,0,0.8781365556769315
7,64,49,3260,high,0,0.7309696142233465
16,92,68,8579,high,1,0.12346551231434899
16,80,82,9640,high,0,0.2779813228648017
53,98,13,3511,high,0,0.5737960663967421
12,29,75,1703,high,0,0.46347279739869407
14,63,67,8694,high,1,0.022263247517846363
56,41,86,4259,high,1,0.03410497585955308
76,82,21,8822,high,1,0.7557186183454786
20,87,14,3283,high,0,0.06506546762385823
40,80,19,9759,high,1,0.45936243301990365
24,58,45,7875,high,0,0.39034334143041993
47,68,61,1292,high,1,0.7866331931464593
36,15,54,3282,high,1,0.40490973599714275
65,72,12,5329,high,0,0.7559555717309315
83,0,86,6249,high,0,0.6833715001326097
38,58,16,2203,high,1,0.9904855320832573
70,66,87,1883,high,0,0.8857124596255268
36,98,90,8856,high,0,0.2899618714914567
23,43,49,9498,high,1,0.48480639394411007
52,93,64,8073,high,1,0.8102660203852748
49,14,55,8436,high,0,0.5564282527939187
63,3,17,2058,high,1,0.2991286287193926
68,43,81,6935,high,0,0.16126289466557087
99,85,50,9998,high,0,0.9983798731831359
10,11,75,1056,high,1,0.9542347103732897
79,94,81,4939,high,0,0.451337821068718
73,20,96,1890,high,1,0.4420844499523382
94,65,97,7461,high,0,0.5882294657332142
54,45,21,7485,high,1,0.37190981463948314
1,14,93,6664,high,0,0.7238156877063355
37,76,89,1730,high,0,0.08290649681747542
12,14,4,7454,high,1,0.047861632164236556
10,39,3,5549,high,1,0.4694476944114566
66,22,15,1255,high,1,0.8097624803310994
56,2,12,7127,high,0,0.5091786089724065
69,97,34,4932,high,0,0.1747479749024473
22,91,32,7683,high,0,0.357870049617377
10,39,3,5549,high,0,0.387981591066459
40,79,31,1479,high,0,0.6555237123364189
36,74,92,2801,high,1,0.776607592728746
25,75,76,1814,high,1,0.49653685548181625
35,46,33,3072,high,1,0.31656352515305974
27,89,81,8128,high,1,0.7038251170727057
88,24,15,4206,high,1,0.5327415640067552
2,62,18,2291,high,1,0.3755468841584799
17,20,87,9895,high,1,0.5641181226676761
28,94,16,7050,high,0,0.859809464797119
86,84,94,1569,high,0,0.9078324496071914
93,84,96,7639,high,1,0.5699166124931709
66,46,39,1011,high,1,0.9412122125419549
22,1,66,6315,high,0,0.821944646494702
41,85,51,3502,high,0,0.9298782721964189
68,15,64,1595,high,1,0.583256718659585
72,13,41,4487,high,0,0.6938461815731995
56,21,75,1784,high,0,0.7526190621789332
61,87,53,5183,high,1,0.2790559219943649
11,11,65,5274,high,0,0.23332976591914778
29,45,68,1625,high,1,0.010550977034008646
20,87,14,3283,high,0,0.8875849642171652
65,95,61,7159,high,0,0.05173832226120223
31,10,21,4216,high,0,0.2653710618498931
43,77,51,8570,high,1,0.08353430935133332
48,60,65,9269,high,0,0.946097826740929
11,64,28,1039,high,1,0.12292527360494276
71,32,60,6546,high,1,0.7462519702977122
86,87,1,1543,high,1,0.16751523293124648
52,21,2,7194,high,1,0.8400062390989468
16,76,65,1789,high,0,0.7866610994180097
74,85,60,7200,high,1,0.4058423500068
95,72,76,9471,high,0,0.04537721408513984
15,33,31,9484,high,0,0.8924469853964521
30,78,92,3337,high,0,0.2917666655154958
5,43,54,7109,high,1,0.9337535888349021
84,60,81,3063,high,1,0.7473852928800425
78,81,55,3980,high,0,0.4551331045704494
63,62,42,9357,high,1,0.8308671575558502
18,74,72,7976,high,1,0.1669906207012294
81,20,87,5543,high,0,0.7957231582298784
4,75,66,1246,high,0,0.010089343704367093
25,75,76,1814,high,0,0.6469717517217543
17,20,87,9895,high,1,0.43893329324485564
9,32,5,1713,high,0,0.7688205827592997
7,64,49,3260,high,1,0.08683153775751251
28,5,44,4598,high,1,0.9133267707035243
48,9,8,1023,high,1,0.3710007763691534
74,85,60,7200,high,0,0.6668788969388608
81,68,11,8039,high,1,0.1083810127845154
59,15,92,9567,high,0,0.25276800312128167
59,49,9,9744,high,1,0.8109589033398187
65,42,40,6606,high,0,0.1536681992927602
5,48,91,8232,high,1,0.050064275204767195
81,20,87,5543,high,1,0.5942882278994163
84,92,66,9650,high,0,0.5800540668541158
10,39,3,5549,high,0,0.014673375323282056
96,93,88,5997,high,0,0.23498918473548092
95,72,76,9471,high,1,0.1309766425904333
39,52,25,6600,high,1,0.5876990748105649
23,2,66,4118,high,0,0.9854144698074381
12,89,16,2626,high,0,0.4836062009069769
19,15,34,7635,high,1,0.999536690422222
6,24,37,6759,high,0,0.04403621660145696
62,89,65,5341,high,1,0.3988582370896122
76,82,21,8822,high,1,0.809018768670323
73,13,59,2499,high,0,0.022490314489497343
3,14,24,3693,high,1,0.5326310227308846
73,20,96,1890,high,0,0.778854394279927
7,55,17,5155,high,1,0.34524464242968267
80,51,72,6592,high,0,0.9996928634282969
76,56,45,9775,high,0,0.05838885179760833
10,58,5,1979,high,1,0.9315703762984637
56,2,12,7127,high,0,0.1424705049084113
68,13,35,2348,high,1,0.728301455299619
3,14,24,3693,high,1,0.6994601487975789
42,6,74,1076,high,0,0.630679013227654
89,70,31,1949,high,0,0.5305850877491588
27,78,3,7486,high,1,0.8682866750431419
20,57,86,7101,high,1,0.25048324729488425
99,85,36,5310,high,0,0.07123961049624994
40,79,31,1479,high,0,0.4911135744187789
22,1,66,6315,high,0,0.5627238992325642
81,20,87,5543,high,0,0.2635505754730799
99,85,50,9998,high,0,0.13760859336594888
79,88,42,3649,high,1,0.1558658244084512
69,72,60,3292,high,0,0.7724192787527342
99,85,50,9998,high,0,0.47701509719842916
11,64,28,1039,high,1,0.1706625071226442
92,8,69,7993,high,0,0.2138573703736215
70,73,3,7855,high,1,0.4547273190526526
96,75,18,7900,high,1,0.9979023691004771
38,84,97,3962,high,0,0.9179834634142985
11,9,89,6134,high,1,0.761373020223162
1,12,24,8963,high,1,0.2333814742156094
59,15,92,9567,high,0,0.31975169181911767
70,83,96,9737,high,0,0.4116461970120958
84,30,96,1562,high,0,0.2498947842366006
36,49,40,7163,high,0,0.010415398060725889
40,79,31,1479,high,0,0.9479188213210067
40,79,31,1479,high,1,0.4295660555914521
94,68,88,8546,high,0,0.7224891360071165
76,16,86,7413,high,0,0.231588760746412
63,3,17,2058,high,1,0.19339557054637424
3,13,41,4996,high,0,0.07034077105702075
73,94,50,4653,high,1,0.6598321259089612
10,11,75,1056,high,1,0.30109170838171373
28,5,44,4598,high,1,0.45922007539005116
49,14,55,8436,high,1,0.9624459998190285
70,73,3,7855,high,0,0.42738536566911955
43,77,51,8570,high,1,0.4086024919080098
84,30,96,1562,high,1,0.11933430910760123
30,56,17,6396,high,0,0.2685955929909175
71,34,9,8076,high,0,0.6389082559295873
27,78,3,7486,high,1,0.09312738313382829
66,22,15,1255,high,1,0.9581875375559136
53,43,39,1114,high,0,0.8627615737556174
71,32,60,6546,high,1,0.8181243241302384
47,13,89,2389,high,1,0.4386109798108
64,2,78,3356,high,0,0.775431250638213
77,44,27,5656,high,1,0.9339101561384666
76,60,32,9243,high,1,0.2442757269123108
92,8,69,7993,high,0,0.6817491408416839
16,92,68,8579,high,0,0.027529740294576666
23,2,66,4118,high,0,0.21056744850800457
42,19,54,4845,high,1,0.34164656883672795
5,49,76,2618,high,1,0.3460315058552351
89,94,18,3311,high,1,0.23751735696140686
55,61,60,4718,high,1,0.2899810115801541
68,13,35,2348,high,0,0.5966841854216028
58,23,45,8993,high,1,0.9506379689710643
24,82,97,2283,high,1,0.8667995902596177
65,42,40,6606,high,0,0.44091915914418156
65,42,40,6606,high,0,0.3264473593614978
2,62,18,2291,high,1,0.7338160940633633
18,52,88,2471,high,1,0.15581917402396173
34,68,58,4066,high,1,0.29951005838473865
81,37,37,8980,high,0,0.39746701166598863
7,42,3,3845,high,1,0.023462998433325666
21,73,90,6622,high,1,0.5108288019932281
39,52,25,6600,high,0,0.5343718644517207
69,14,34,8631,high,0,0.11087442264181346
80,8,43,1756,high,1,0.7865200777206645
80,95,12,9787,high,1,0.4729032445592549
70,62,94,7487,high,1,0.02812431417274297
38,62,18,4093,high,0,0.11087539993739937
8,60,23,2446,high,1,0.28985669852890217
44,60,82,5791,high,1,0.8607155621498676
54,55,68,5327,high,1,0.1487111588609792
66,27,38,7334,high,1,0.3899985303569167
69,97,34,4932,high,0,0.6213007734833071
10,57,54,1120,high,0,0.8871086366806089
16,80,82,9640,high,1,0.08450549475769231
22,91,32,7683,high,1,0.5449486878360618
78,81,55,3980,high,1,0.3632234550748771
59,49,9,9744,high,1,0.38329391821863323
45,36,1,7457,high,1,0.6229635542981854
14,63,67,8694,high,1,0.589636515655897
35,60,63,7850,high,1,0.22039247951482044
99,90,92,5786,high,0,0.7211373181718314
72,93,88,9283,high,0,0.23582748836126255
7,12,85,9372,high,1,0.327339849878833
72,62,17,8494,high,0,0.36510799723626786
83,72,85,8641,high,1,0.5018656728997577
97,75,1,6920,high,0,0.31561630739218294
73,94,50,4653,high,1,0.9689617150671851
94,65,97,7461,high,0,0.027099497953791074
56,21,75,1784,high,0,0.9370816147318722
99,35,86,3470,high,0,0.33708235952125243
83,20,3,3259,high,1,0.026245605658674842
63,62,42,9357,high,1,0.631149945645311
68,43,81,6935,high,0,0.13624062390765945
19,15,34,7635,high,0,0.25198298458058366
81,37,37,8980,high,1,0.2892706877352076
99,35,86,3470,high,1,0.7793895967231668
20,5,46,3593,high,0,0.3651041265346142
29,36,65,8887,high,0,0.9235200169584826
24,58,45,7875,high,0,0.36537058896881547
29,29,70,1234,high,1,0.7486013535707784
97,98,71,8843,high,0,0.7311453257191948
68,13,35,2348,high,1,0.8546900070761917
45,79,44,3507,high,0,0.2383440784441515
47,13,89,2389,high,1,0.02483916198764269
16,80,82,9640,high,0,0.07680292063242522
51,82,90,3659,high,1,0.3997472083762583
2,62,18,2291,high,0,0.29108201227132957
46,27,50,9422,high,1,0.21140340518412515
70,39,31,5075,high,0,0.31311363890521426
62,89,65,5341,high,1,0.0187082372090982
20,65,96,2809,high,0,0.6067971635620025
76,56,45,9775,high,1,0.47151026965507326
2,62,18,2291,high,1,0.20377612228675268
24,82,97,2283,high,1,0.09104450063789804
99,35,86,3470,high,1,0.7960678795055018
20,65,96,2809,high,1,0.5223362155116207
25,75,76,1814,high,1,0.5994272730324135
57,46,20,5677,high,1,0.5872062861791096
7,12,85,9372,high,1,0.6799679031011991
72,51,42,8795,high,1,0.4828715960708264
37,49,69,5062,high,0,0.479453448227977
54,45,21,7485,high,1,0.6863258103623131
40,79,31,1479,high,1,0.3411879150984096
70,39,31,5075,high,0,0.9596027887812371
37,67,82,2780,high,0,0.2225544438478937
80,8,43,1756,high,0,0.6742598031847561
80,8,43,1756,high,0,0.9168395541743409
7,24,30,3422,high,0,0.10367320036816019
51,82,90,3659,high,0,0.348344131286784
46,27,50,9422,high,0,0.04300563662481671
76,4,75,8887,high,0,0.7372268652454922
69,74,20,9473,high,1,0.21992760634457886
37,49,69,5062,high,1,0.2380201152164999
2,62,18,2291,high,1,0.5550592096828424
82,53,0,6497,high,1,0.23566049048310167
39,52,25,6600,high,0,0.5471028745519573
9,87,12,9705,high,1,0.12744130200671344
1,92,78,4679,high,0,0.5520109792070793
40,79,31,1479,high,0,0.26994012118992283
79,19,60,2652,high,1,0.9339325860950671
1,14,93,6664,high,1,0.779078383244555
76,16,86,7413,high,1,0.2910655097018977
65,42,40,6606,high,1,0.005479017638809869
16,80,82,9640,high,1,0.9159463765274091
76,16,86,7413,high,0,0.07123974506123121
10,59,65,4853,high,0,0.04700182112753293
96,19,69,2369,high,0,0.43799465206093047
24,58,45,7875,high,1,0.1911607038759776
89,70,31,1949,high,0,0.600260792830563
47,99,57,7578,high,1,0.12447492506012214
36,15,54,3282,high,0,0.012641950904726973
37,49,69,5062,high,1,0.9954127753541353
63,62,42,9357,high,1,0.18026635571309546
47,36,72,1100,high,0,0.9263255566396367
57,16,2,6434,high,1,0.21962912077227625
23,49,83,8670,high,0,0.14394947782376077
79,19,60,2652,high,0,0.885344668299141
86,84,94,1569,high,0,0.5057981247639203
71,32,60,6546,high,1,0.6802013236094354
72,13,41,4487,high,0,0.28027010412502784
74,85,60,7200,high,1,0.40820849850202534
73,94,50,4653,high,1,0.8389768232020821
70,66,87,1883,high,1,0.26205040339368835
57,64,2,3955,high,0,0.960463865943284
36,49,40,7163,high,0,0.28256201294924643
5,49,76,2618,high,1,0.8572540037474279
29,36,65,8887,high,0,0.9715388358454153
4,91,14,9718,high,1,0.3881928133248066
46,27,50,9422,high,1,0.022211613301668764
97,42,35,1948,high,1,0.7799031074721672
48,60,65,9269,high,0,0.8371057582233159
5,49,76,2618,high,1,0.019403521673999835
76,94,97,6531,high,0,0.5929049431606893
4,75,66,1246,high,1,0.2928379772212104
0,43,50,3902,high,0,0.38379590015284637
70,83,96,9737,high,1,0.8017263711243339
18,74,72,7976,high,0,0.4717518218824821
31,10,21,4216,high,0,0.906162528379729
71,95,19,6644,high,1,0.5941073882515873
57,16,2,6434,high,1,0.043082105750945954
95,71,28,3428,high,1,0.7631049143944277
86,36,53,7010,low,1,0.08990741610962638
6,64,89,5926,low,0,0.9441354155206388
22,73,32,7065,low,0,0.6805402980202053
33,98,19,1634,low,0,0.0911145742164089
8,74,44,3218,low,1,0.06672648502716705
40,11,81,2249,low,1,0.5664407885583377
47,44,61,8640,low,1,0.4691968604332769
44,16,30,6712,low,0,0.6543052273556924
24,79,41,2245,low,1,0.7746202976356028
24,65,64,1442,low,1,0.9785919027142801
38,40,2,5675,low,0,0.4213088666423832
79,28,8,5377,low,0,0.9337507464805433
67,33,77,8096,low,0,0.12388591584453656
18,48,2,6765,low,0,0.8444864955210907
27,53,97,2031,low,0,0.6833639094712045
75,94,32,7981,low,0,0.7672474291245066
53,2,31,6392,low,1,0.6664708229162853
5,66,63,8972,low,1,0.7121872708780744
92,80,38,3800,low,1,0.5328771237005769
93,99,83,3775,low,0,0.11326254554801962
1,16,71,7044,low,1,0.4053074588521117
92,61,24,4850,low,0,0.8105762899743575
54,36,18,2188,low,1,0.12514002493646292
0,51,83,6153,low,0,0.28737732579896247
31,26,50,9592,low,1,0.23257164068282765
16,39,25,1723,low,0,0.8942618760160738
7,46,55,3329,low,0,0.299525182984987
41,43,63,8545,low,0,0.7998308182328061
78,67,26,3822,low,0,0.11922285643688657
52,10,44,5460,low,1,0.9875959705537926
53,76,3,1270,low,0,0.8278482177044468
54,76,98,9250,low,0,0.5138193874532988
21,91,30,7999,low,1,0.301109174114522
48,76,31,9991,low,0,0.6482364281979927
7,65,59,7531,low,1,0.8567854504414427
39,72,55,2649,low,0,0.5448723920372714
33,96,13,8351,low,1,0.6510474966029426
95,13,32,6911,low,1,0.671704583822403
46,32,63,7436,low,0,0.4069751035493696
8,61,91,2715,low,1,0.006712990204144731
32,12,42,9150,low,1,0.8920512314506253
92,46,58,8675,low,1,0.9732534111183883
57,80,18,6539,low,0,0.6304441970175386
84,95,20,7048,low,1,0.3867350829441567
68,42,21,2151,low,0,0.9653409755617991
9,7,8,6492,low,1,0.019830369926775004
12,11,72,7302,low,0,0.8754136959025494
9,48,79,4428,low,0,0.19968302373522173
66,61,32,4955,low,1,0.957562723013264
11,50,75,5038,low,1,0.2706535580274787
48,58,54,8011,low,1,0.11447257424712698
48,75,4,9879,low,1,0.7768775035525476
88,14,58,9521,low,0,0.07521760052735593
35,22,48,1784,low,0,0.1622548598564011
89,96,82,6036,low,0,0.3169009138724749
77,44,53,8127,low,0,0.5935983627139815
0,78,7,6775,low,1,0.01733060803302744
11,63,54,4708,low,0,0.5944320051796333
76,55,82,9953,low,0,0.8587484372627902
51,43,81,8692,low,0,0.3027237897285757
86,28,94,8252,low,0,0.41504326741220476
79,88,56,5187,low,0,0.19217526394185935
21,53,79,1036,low,0,0.32301522141003536
55,82,6,9060,low,1,0.6998413234567068
96,65,77,9065,low,1,0.37629441801147534
57,21,52,4880,low,1,0.6162217103887452
92,19,62,6932,low,1,0.24891226424436408
63,32,88,9328,low,1,0.7666162374710451
11,71,31,7333,low,1,0.262300706804353
89,97,51,1661,low,1,0.43978065156514967
23,7,88,3729,low,0,0.9618972382838936
59,53,98,3867,low,1,0.2315548349342138
26,13,32,4544,low,1,0.940836508621151
22,56,90,8565,low,1,0.5040664521267159
95,74,44,3217,low,0,0.603132580887313
13,4,16,5796,low,1,0.8153879961448451
90,70,55,5606,low,1,0.966794678051198
42,36,60,1416,low,1,0.42821536646582514
70,38,9,5513,low,0,0.14160501960907657
37,25,88,2421,low,0,0.8521216041302027
80,27,80,2477,low,0,0.8331689848601469
51,26,86,9762,low,0,0.22415642210458575
19,8,7,5443,low,0,0.420521547530441
16,39,64,7869,low,1,0.9301401014897952
37,67,94,7609,low,0,0.13707420439235307
89,9,87,3577,low,1,0.896551088408299
43,19,68,2068,low,1,0.29718720472399873
59,74,80,6591,low,0,0.5397068161395293
16,61,72,5829,low,0,0.181376545159606
47,24,84,2387,low,1,0.8238862532422155
42,61,31,9562,low,0,0.97078149031041
53,95,42,8063,low,0,0.6477984365597955
88,58,96,4628,low,0,0.38858817586589944
85,4,76,7157,low,1,0.05299067982601979
30,98,0,9860,low,0,0.944157476441615
69,49,99,9721,low,0,0.2396923316912578
57,0,29,3347,low,1,0.31565686588245234
58,89,81,1726,low,0,0.31020381654833373
92,57,74,5923,low,0,0.6602646144912536
45,78,39,4279,low,0,0.6902803612518474
63,46,28,4807,low,1,0.00013506826012199546
19,79,91,7099,low,0,0.9070598011729463
77,92,18,7169,low,1,0.40023092868928556
38,23,2,8790,low,1,0.5657890679637764
32,33,40,1588,low,1,0.5461192988132361
30,1,89,4231,low,0,0.5908821515066262
70,86,83,6044,low,1,0.17694768125979476
61,71,76,7103,low,1,0.9829531479130975
55,67,77,7783,low,1,0.6544449470557341
6,13,90,6594,low,1,0.48676489966910064
88,62,86,4822,low,1,0.3148484111750972
83,62,46,4688,low,1,0.9277102752086372
33,95,53,8211,low,1,0.596398860296213
29,89,93,7319,low,0,0.7354619044512652
9,63,94,7278,low,1,0.6715631224815638
90,18,59,4598,low,0,0.8882938702012734
58,10,73,4680,low,1,0.6783048325876144
62,14,22,2758,low,1,0.9642841170827581
86,9,26,3599,low,1,0.5470556804562599
9,26,89,6813,low,0,0.7006256428159785
61,51,76,2501,low,1,0.7630959188664058
33,64,49,8550,low,1,0.0818975096754384
39,92,92,2041,low,0,0.036786180576410143
63,75,54,7375,low,0,0.4498285688412865
38,57,71,4067,low,1,0.12882271897416986
9,38,1,1675,low,1,0.48797379276177344
70,27,79,7668,low,0,0.9590761830498884
54,29,94,5267,low,0,0.0758948781535782
0,36,69,6988,low,0,0.19690779657888768
48,66,84,8652,low,0,0.12473388786325856
35,42,89,9680,low,1,0.6902301678420927
6,67,23,4495,low,0,0.6453286052755016
92,91,55,9448,low,0,0.36685390315332056
93,22,89,2779,low,1,0.49163007644385603
10,85,40,9014,low,1,0.6333469206724597
72,23,65,2118,low,1,0.5838188725458217
11,50,24,8631,low,0,0.0774889455297676
12,56,8,6691,low,1,0.09892053312802518
82,81,91,9532,low,0,0.7423607999995547
87,89,32,5746,low,1,0.5790652219762581
33,22,85,6679,low,1,0.052291992256513375
61,30,81,4598,low,0,0.6029304199531343
30,8,14,5214,low,0,0.32058644411263437
67,20,56,9166,low,1,0.4375681296526919
38,95,21,5526,low,1,0.7600341678624633
7,51,28,8971,low,0,0.11418835059160692
65,96,64,3989,low,1,0.02491252314437742
87,84,4,4823,low,0,0.029964587651558294
25,78,82,3429,low,1,0.8059140995275244
18,83,9,7718,low,0,0.8025142448307047
56,81,99,1051,low,1,0.3568674119558626
36,91,24,1318,low,0,0.41093966326739484
91,72,59,8018,low,0,0.38061076427599916
72,55,6,7057,low,1,0.20994244332907497
5,91,45,8043,low,0,0.13458025334549617
10,42,0,8874,low,1,0.8977056622442371
81,25,98,2502,low,0,0.44845267757780605
90,81,69,9598,low,0,0.5418798104018394
35,67,96,6806,low,1,0.45531484875703054
25,43,15,5354,low,1,0.5322019750863177
52,60,23,1722,low,0,0.12097716999432784
24,73,76,4331,low,1,0.03056891246218829
85,94,75,4116,low,1,0.4409377567281021
4,66,68,1330,low,0,0.7206041213361071
3,1,30,3212,low,1,0.3465804988063972
20,69,29,6614,low,0,0.8572705965301235
76,25,17,6913,low,1,0.026111207039857254
88,71,43,6913,low,0,0.957058524433539
13,0,96,1329,low,1,0.6404534744797734
99,2,55,7742,low,1,0.4059917117375842
15,50,96,9125,low,0,0.03579969692052676
15,14,38,6703,low,0,0.6518985901091218
28,37,62,7644,low,1,0.4106568701324158
91,82,95,8420,low,1,0.47401448269389124
87,46,16,9411,low,1,0.28569212412094847
18,77,70,3593,low,1,0.2350250906997703
85,29,75,9437,low,1,0.07850878157847574
73,4,34,4349,low,1,0.5477316221215031
45,82,43,6247,low,0,0.3770901107801714
90,30,67,6356,low,1,0.3759832812218741
32,87,47,5898,low,0,0.29935382727688364
98,74,85,6239,low,0,0.7568399390443462
62,56,63,2734,low,1,0.23246165485680892
27,90,61,3196,low,1,0.061139616275408204
92,78,12,2906,low,0,0.95312098187667
48,85,55,5227,low,1,0.5661230542921593
56,23,50,4849,low,0,0.028573646582965462
83,72,15,7849,low,1,0.945990742758482
74,45,6,3322,low,0,0.9211155940913235
56,17,44,9378,low,0,0.43473513452863066
99,9,6,8254,low,0,0.2537356387539168
87,72,14,9401,low,1,0.9556697846870037
42,30,39,2563,low,1,0.3836210626343203
22,27,82,9217,low,1,0.5872554618884208
36,54,54,1321,low,1,0.6026815995154725
5,13,76,6698,low,1,0.5247524610673693
64,57,94,6604,low,1,0.7223925504010746
5,88,79,7742,low,1,0.05772241858911942
87,23,56,6674,low,1,0.08057347693673367
78,63,91,1910,low,1,0.8477057025536926
87,26,67,8701,low,0,0.8900879667634262
98,90,7,7945,low,1,0.3716071155044606
64,38,63,3400,low,1,0.02383893102313217
45,78,40,3343,low,1,0.2884765251575889
10,0,78,6193,low,1,0.6394576348435832
11,49,92,4536,low,1,0.09587383061055588
35,61,37,1976,low,0,0.7640671231475779
32,55,89,1107,low,0,0.7089177697868765
40,12,91,7229,low,1,0.32749797132049474
57,8,98,7877,low,1,0.8343247591798268
30,0,15,3107,low,1,0.8169620956252305
54,69,78,1559,low,0,0.18571373923044843
30,46,27,4439,low,1,0.7131393366022153
69,90,8,4928,low,0,0.43207217446409796
14,35,34,2760,low,0,0.5908207295547145
91,31,96,4275,low,0,0.7007887937069546
14,80,64,5295,low,1,0.48653573318823073
87,59,79,2811,low,0,0.6984471440337245
97,64,91,5615,low,0,0.2511506447370824
37,25,37,3582,low,0,0.7017870745169191
93,76,10,7445,low,0,0.36506303444963706
41,58,66,4837,low,0,0.7388105089459273
64,40,6,9651,low,0,0.9424957924849051
0,56,48,3552,low,0,0.3045632090294431
19,48,25,7096,low,0,0.35378156647102665
67,68,70,2556,low,1,0.36243595556566155
21,5,94,4955,low,1,0.5383250382905184
81,64,19,1404,low,1,0.052138650159932354
0,24,50,2620,low,0,0.0031939491092826122
29,0,80,3952,low,1,0.11365845241210759
68,59,39,1565,low,1,0.7226851691855026
74,28,96,5799,low,1,0.41891945092363303
94,72,99,9776,low,0,0.6203418485262845
79,59,78,8614,low,0,0.9288348372735582
23,16,54,1537,low,0,0.7874426782730004
65,59,28,2415,low,1,0.619774968357981
42,67,9,8013,low,0,0.09429488075416104
27,79,43,3770,low,0,0.3327797901616354
46,64,6,8187,low,1,0.18695846178782483
41,87,25,3180,low,1,0.0589233208883424
93,87,78,2960,low,0,0.6800571290923294
31,16,65,4270,low,1,0.47682115888884535
0,91,91,1582,low,0,0.3670480052997487
80,93,42,8979,low,0,0.28559791645303156
70,26,70,4060,low,0,0.14062127959427506
33,30,67,7213,low,0,0.9965545620773556
72,45,4,3377,low,0,0.07960449893532873
99,98,28,2239,low,0,0.840848342518851
8,84,36,6055,low,1,0.4666451097749874
5,88,6,6772,low,0,0.6622587663190926
15,53,53,5349,low,1,0.41143121436249686
82,29,98,6156,low,1,0.5064491299912719
80,21,26,6461,low,1,0.027442117975705282
63,42,7,6302,low,0,0.8581432700084753
65,79,92,2629,low,1,0.04080647765958234
73,80,28,5839,low,1,0.0007728154755975991
3,25,40,1557,low,1,0.6258554540341092
76,64,10,7998,low,0,0.26044588925413903
47,36,65,5666,low,0,0.8169799079781922
32,65,97,9906,low,0,0.8596048883973414
82,39,79,7446,low,0,0.7187269636955508
9,8,83,3160,low,0,0.5766080920952815
64,76,24,6740,low,1,0.6951451085646403
