day_of_week,hour,weather,event,travel_time,road_condition,accidents
Saturday,7,Cloudy,Sports,24,Bad,2
Friday,10,Sunny,Concert,36,Moderate,2
Thursday,3,Cloudy,,54,Good,0
Tuesday,16,Cloudy,Sports,18,Moderate,2
Thursday,6,Cloudy,Concert,54,Moderate,3
Sunday,7,Snowy,Sports,32,Bad,0
Tuesday,2,Sunny,,50,Good,4
Tuesday,21,Rainy,,56,Good,4
Wednesday,1,Sunny,Festival,57,Bad,0
Tuesday,22,Rainy,,28,Moderate,1
Monday,14,Snowy,,19,Bad,3
Friday,23,Snowy,Concert,26,Bad,1
Friday,21,Snowy,Festival,34,Moderate,3
Thursday,21,Snowy,Concert,8,Moderate,4
Sunday,4,Rainy,Sports,17,Bad,2
Tuesday,23,Cloudy,,27,Bad,2
Monday,0,Rainy,Sports,12,Moderate,2
Thursday,3,Sunny,Concert,22,Good,3
Wednesday,14,Snowy,,16,Good,1
Thursday,19,Snowy,,59,Moderate,3
Thursday,18,Sunny,Concert,35,Moderate,1
Tuesday,2,Rainy,Concert,18,Good,0
Wednesday,19,Cloudy,Concert,38,Bad,4
Thursday,10,Cloudy,Concert,22,Bad,0
Monday,16,Sunny,Concert,38,Bad,4
Monday,12,Cloudy,,15,Moderate,1
Friday,10,Rainy,Concert,45,Good,3
Wednesday,1,Rainy,,16,Good,1
Wednesday,8,Sunny,,53,Bad,0
Friday,1,Rainy,Concert,19,Good,1
Thursday,20,Snowy,Concert,35,Good,1
Wednesday,8,Sunny,Festival,53,Good,1
Monday,8,Rainy,,33,Moderate,3
Monday,7,Sunny,Concert,30,Good,0
Tuesday,16,Cloudy,Concert,22,Good,0
Wednesday,0,Rainy,Concert,36,Moderate,2
Thursday,10,Snowy,Festival,26,Good,1
Friday,7,Rainy,Festival,42,Bad,1
Friday,9,Sunny,Sports,21,Good,0
Thursday,6,Sunny,,27,Good,4
Sunday,2,Rainy,Sports,28,Good,2
Saturday,2,Snowy,Concert,54,Good,2
Tuesday,17,Snowy,Festival,12,Good,1
Friday,4,Snowy,Festival,45,Good,4
Wednesday,11,Sunny,Sports,10,Moderate,3
Tuesday,11,Rainy,Festival,9,Bad,0
Wednesday,18,Cloudy,Concert,48,Moderate,3
Sunday,5,Sunny,Festival,33,Moderate,3
Monday,1,Snowy,Sports,32,Moderate,2
Tuesday,11,Rainy,Concert,15,Good,2
Friday,18,Snowy,Sports,5,Moderate,2
Tuesday,4,Cloudy,Festival,47,Moderate,3
Tuesday,11,Snowy,Sports,23,Bad,2
Tuesday,16,Snowy,Sports,13,Moderate,2
Saturday,16,Cloudy,,31,Good,2
Tuesday,9,Rainy,Festival,38,Good,4
Wednesday,22,Sunny,Festival,48,Good,1
Monday,16,Rainy,Sports,8,Good,2
Sunday,14,Cloudy,,40,Bad,2
Thursday,11,Snowy,Festival,22,Good,4
Tuesday,15,Rainy,Concert,19,Moderate,4
Friday,23,Sunny,Sports,55,Moderate,3
Tuesday,18,Cloudy,Festival,17,Moderate,1
Friday,7,Rainy,Concert,23,Good,2
Wednesday,20,Sunny,Festival,53,Moderate,1
Friday,16,Cloudy,Concert,10,Bad,0
Thursday,22,Sunny,Sports,52,Bad,2
Monday,4,Cloudy,Festival,16,Bad,2
Friday,21,Snowy,Festival,55,Bad,1
Friday,15,Rainy,,41,Bad,2
Monday,5,Sunny,Sports,21,Moderate,3
Thursday,7,Cloudy,Concert,27,Bad,3
Tuesday,17,Sunny,Festival,30,Moderate,1
Friday,11,Sunny,Festival,33,Moderate,4
Monday,14,Rainy,Concert,37,Good,3
Wednesday,8,Snowy,Sports,31,Bad,4
Monday,12,Sunny,,29,Moderate,0
Wednesday,14,Cloudy,,59,Bad,1
Thursday,9,Cloudy,Festival,14,Moderate,3
Tuesday,15,Snowy,Concert,51,Moderate,0
Monday,6,Cloudy,Festival,27,Moderate,1
Sunday,16,Snowy,Concert,25,Moderate,2
Sunday,22,Cloudy,,25,Good,0
Saturday,20,Rainy,Sports,47,Moderate,1
Friday,21,Sunny,Concert,17,Good,2
Thursday,6,Rainy,,41,Bad,4
Monday,13,Sunny,Festival,37,Moderate,2
Sunday,14,Sunny,Concert,28,Bad,3
Friday,20,Sunny,Sports,48,Good,0
Sunday,6,Rainy,Festival,15,Good,3
Monday,8,Sunny,Festival,21,Bad,0
Wednesday,18,Rainy,,8,Bad,3
Monday,15,Snowy,Concert,51,Bad,4
Saturday,7,Cloudy,Festival,29,Good,2
Monday,17,Cloudy,Sports,34,Moderate,4
Monday,22,Sunny,Concert,13,Bad,1
Saturday,17,Rainy,Sports,25,Good,2
Thursday,19,Cloudy,Festival,24,Moderate,4
Monday,6,Rainy,Sports,23,Good,4
Saturday,2,Rainy,,23,Bad,1
Friday,17,Sunny,Sports,16,Bad,3
Wednesday,9,Cloudy,Concert,41,Good,2
Wednesday,6,Sunny,Sports,46,Bad,3
Monday,16,Sunny,Sports,21,Good,0
Thursday,13,Cloudy,,41,Good,4
Thursday,23,Cloudy,Sports,58,Bad,3
Friday,2,Snowy,Sports,52,Moderate,1
Monday,11,Snowy,Festival,43,Good,3
Wednesday,12,Rainy,Festival,32,Bad,1
Thursday,1,Cloudy,Concert,45,Good,0
Monday,2,Snowy,Festival,39,Good,2
Sunday,4,Rainy,Festival,51,Good,4
Thursday,10,Rainy,Festival,52,Bad,3
Saturday,7,Rainy,Festival,22,Bad,0
Sunday,22,Snowy,,18,Bad,0
Thursday,22,Cloudy,Festival,39,Moderate,0
Wednesday,11,Sunny,,48,Good,1
Tuesday,6,Rainy,,45,Good,2
Sunday,14,Snowy,Festival,11,Good,0
Friday,23,Snowy,Sports,45,Good,1
Friday,16,Sunny,,17,Moderate,3
Wednesday,3,Sunny,Sports,22,Good,1
Thursday,21,Snowy,Sports,41,Moderate,4
Monday,12,Cloudy,Festival,17,Bad,3
Thursday,17,Sunny,Concert,40,Good,0
Wednesday,0,Snowy,Festival,35,Moderate,3
Friday,15,Sunny,Concert,6,Good,2
Thursday,12,Cloudy,Concert,20,Moderate,0
Friday,9,Rainy,Festival,13,Moderate,4
Sunday,11,Sunny,Festival,13,Good,2
Monday,1,Cloudy,Concert,42,Bad,1
Sunday,22,Snowy,Festival,15,Moderate,2
Friday,2,Sunny,Concert,58,Good,2
Friday,9,Sunny,Sports,26,Bad,3
Tuesday,1,Snowy,Festival,37,Bad,3
Tuesday,22,Rainy,Sports,40,Moderate,0
Sunday,12,Snowy,,49,Bad,3
Saturday,12,Sunny,Sports,27,Bad,2
Sunday,17,Snowy,Sports,49,Bad,1
Tuesday,2,Cloudy,Concert,49,Bad,0
Friday,6,Snowy,Sports,38,Good,2
Wednesday,13,Sunny,Festival,13,Good,4
Sunday,19,Snowy,Concert,28,Good,2
Friday,16,Rainy,,12,Moderate,2
Wednesday,20,Snowy,Festival,11,Good,1
Wednesday,11,Rainy,,40,Moderate,2
Tuesday,15,Cloudy,Sports,22,Good,4
Sunday,23,Rainy,Festival,7,Moderate,3
Thursday,11,Snowy,Festival,32,Moderate,1
Monday,14,Sunny,,10,Bad,3
Tuesday,9,Rainy,Festival,48,Bad,0
Tuesday,6,Cloudy,Festival,48,Bad,2
Thursday,19,Rainy,Festival,25,Moderate,4
Monday,4,Rainy,Sports,32,Bad,0
Friday,0,Rainy,,44,Moderate,2
Saturday,16,Cloudy,Festival,58,Bad,1
Sunday,2,Snowy,Concert,58,Moderate,0
Saturday,12,Rainy,Concert,5,Bad,2
Friday,13,Rainy,Concert,40,Good,2
Tuesday,23,Sunny,Concert,25,Bad,4
Monday,17,Cloudy,Sports,47,Moderate,2
Tuesday,3,Rainy,Festival,39,Bad,4
Wednesday,17,Cloudy,,17,Moderate,1
Tuesday,4,Rainy,Festival,53,Moderate,3
Tuesday,15,Snowy,Sports,58,Bad,2
Friday,0,Snowy,Concert,58,Bad,3
Friday,20,Rainy,Sports,14,Good,0
Friday,13,Snowy,Festival,57,Moderate,4
Saturday,14,Rainy,,48,Moderate,2
Wednesday,8,Snowy,Sports,51,Good,3
Friday,14,Sunny,,57,Good,3
Monday,16,Sunny,Sports,14,Bad,3
Saturday,23,Sunny,,50,Bad,1
Thursday,3,Cloudy,,17,Moderate,3
Monday,11,Cloudy,Concert,41,Good,1
Sunday,4,Sunny,,42,Bad,1
Sunday,4,Cloudy,Concert,28,Moderate,4
Monday,10,Snowy,Festival,6,Moderate,1
Friday,5,Rainy,Festival,26,Good,3
Thursday,6,Rainy,Concert,21,Bad,3
Thursday,23,Rainy,Concert,40,Good,1
Saturday,13,Sunny,Sports,18,Good,2
Thursday,23,Cloudy,Sports,14,Bad,4
Sunday,10,Snowy,Sports,39,Good,2
Wednesday,12,Snowy,Festival,29,Bad,4
Friday,1,Sunny,Sports,7,Moderate,3
Thursday,6,Snowy,,51,Good,1
Saturday,19,Snowy,,42,Bad,4
Sunday,3,Snowy,Sports,21,Good,2
Wednesday,7,Snowy,,16,Moderate,1
Tuesday,19,Cloudy,Festival,58,Moderate,4
Tuesday,21,Snowy,,56,Moderate,3
Wednesday,20,Rainy,Festival,28,Good,4
Sunday,18,Sunny,Concert,33,Good,2
Saturday,12,Cloudy,Concert,47,Bad,2
Wednesday,13,Snowy,Concert,29,Moderate,0
Friday,9,Cloudy,Concert,40,Moderate,4
Friday,10,Snowy,,30,Bad,4
Tuesday,1,Rainy,Sports,42,Bad,4
Thursday,8,Sunny,,5,Moderate,0
Saturday,16,Snowy,Festival,24,Moderate,2
Tuesday,2,Snowy,,59,Good,2
Thursday,23,Snowy,,32,Good,1
Thursday,5,Snowy,Festival,20,Bad,2
Friday,4,Sunny,Concert,51,Good,1
Sunday,4,Sunny,Concert,21,Bad,1
Monday,21,Rainy,Concert,44,Moderate,3
Sunday,14,Sunny,Sports,32,Bad,2
Monday,22,Snowy,Festival,16,Good,0
Wednesday,16,Rainy,Festival,31,Moderate,0
Friday,8,Rainy,,58,Good,1
Thursday,2,Rainy,Sports,57,Bad,1
Saturday,19,Snowy,Concert,46,Bad,0
Monday,16,Cloudy,Sports,51,Good,3
Sunday,9,Snowy,Festival,34,Moderate,1
Thursday,2,Sunny,Festival,45,Good,2
Monday,17,Sunny,,38,Good,2
Monday,17,Snowy,,41,Bad,3
Monday,16,Snowy,Festival,10,Bad,2
Saturday,23,Rainy,Concert,11,Moderate,3
Friday,2,Snowy,Concert,36,Bad,2
Saturday,2,Rainy,Sports,36,Good,2
Tuesday,5,Sunny,Festival,57,Bad,1
Thursday,12,Rainy,Festival,29,Moderate,4
Friday,23,Snowy,Concert,37,Bad,3
Friday,14,Sunny,Concert,59,Good,0
Friday,8,Cloudy,Festival,11,Moderate,1
Sunday,3,Rainy,,56,Moderate,2
Friday,13,Sunny,Festival,16,Bad,3
Saturday,4,Rainy,Festival,20,Moderate,1
Friday,1,Sunny,Concert,20,Good,4
Wednesday,10,Sunny,Concert,47,Moderate,2
Thursday,8,Rainy,,57,Good,2
Friday,23,Cloudy,,40,Good,2
Thursday,2,Sunny,Sports,17,Bad,1
Wednesday,8,Sunny,Festival,11,Bad,1
Wednesday,2,Sunny,Concert,40,Bad,3
Thursday,1,Cloudy,,51,Moderate,2
Monday,11,Cloudy,Sports,55,Moderate,0
Tuesday,9,Snowy,Sports,13,Bad,0
Sunday,8,Rainy,Concert,36,Good,2
Monday,14,Cloudy,Concert,15,Moderate,4
Monday,7,Rainy,Sports,12,Good,4
Saturday,4,Snowy,,37,Moderate,2
Sunday,10,Rainy,Sports,27,Moderate,2
Sunday,1,Cloudy,Festival,29,Bad,4
Monday,23,Rainy,Festival,12,Moderate,1
Friday,14,Cloudy,Concert,49,Bad,0
Saturday,5,Rainy,,26,Moderate,0
Saturday,7,Cloudy,,8,Good,1
Wednesday,4,Cloudy,Festival,44,Bad,3
Sunday,15,Rainy,Sports,7,Good,1
Monday,17,Snowy,Concert,33,Bad,3
Wednesday,5,Sunny,Sports,45,Moderate,4
Thursday,4,Snowy,Sports,33,Good,3
Tuesday,15,Rainy,Sports,38,Moderate,4
Saturday,12,Snowy,,38,Good,3
Thursday,4,Cloudy,Festival,32,Bad,2
Thursday,12,Sunny,,17,Moderate,2
Friday,16,Rainy,Festival,19,Bad,4
Tuesday,17,Rainy,Concert,27,Bad,4
Thursday,7,Rainy,Concert,48,Bad,0
Thursday,12,Sunny,Sports,30,Moderate,2
Tuesday,18,Cloudy,Festival,8,Moderate,0
Tuesday,2,Rainy,Festival,30,Moderate,3
Thursday,23,Snowy,Festival,44,Good,3
Tuesday,7,Rainy,Sports,13,Moderate,2
Thursday,1,Rainy,Sports,59,Good,3
Thursday,7,Rainy,Concert,9,Good,1
Friday,12,Rainy,,36,Good,3
Monday,12,Cloudy,Festival,24,Good,3
Thursday,0,Snowy,Festival,54,Good,3
Wednesday,5,Cloudy,,15,Good,0
Saturday,23,Snowy,Festival,19,Moderate,3
Sunday,18,Rainy,Sports,36,Bad,4
Monday,15,Sunny,Sports,32,Bad,0
Monday,7,Cloudy,Festival,26,Good,3
Monday,0,Sunny,Sports,45,Good,3
Friday,15,Cloudy,Sports,21,Bad,4
Thursday,8,Rainy,Festival,30,Moderate,0
Friday,12,Cloudy,Concert,48,Moderate,3
Thursday,10,Rainy,,11,Moderate,4
Friday,12,Cloudy,Sports,46,Moderate,1
Friday,20,Rainy,Concert,30,Bad,4
Saturday,9,Rainy,Sports,29,Moderate,1
Wednesday,3,Snowy,Sports,14,Moderate,2
Friday,5,Rainy,,49,Moderate,4
Saturday,6,Snowy,Sports,23,Bad,1
Tuesday,4,Rainy,,15,Moderate,0
Wednesday,10,Sunny,,17,Bad,0
Friday,12,Rainy,,57,Bad,4
Sunday,18,Sunny,Concert,12,Good,0
Monday,22,Sunny,Festival,44,Good,4
Tuesday,9,Rainy,Concert,8,Good,2
Tuesday,9,Sunny,Festival,51,Moderate,2
Saturday,10,Snowy,Festival,35,Bad,3
Tuesday,20,Cloudy,,32,Bad,2
Wednesday,6,Rainy,Sports,15,Good,1
Friday,17,Sunny,,47,Bad,0
Friday,3,Rainy,Sports,5,Good,4
Sunday,1,Snowy,Festival,53,Good,3
Monday,13,Rainy,,51,Bad,4
Saturday,12,Rainy,Sports,56,Moderate,2
Monday,11,Sunny,Concert,42,Good,4
Tuesday,6,Snowy,Sports,28,Moderate,2
Sunday,1,Cloudy,,58,Good,1
Monday,12,Cloudy,Concert,51,Good,4
Wednesday,13,Sunny,Sports,35,Good,0
Friday,16,Rainy,Sports,45,Bad,3
Tuesday,8,Sunny,Sports,50,Bad,2
Sunday,16,Sunny,Sports,54,Bad,2
Monday,7,Sunny,Sports,30,Good,1
Saturday,1,Rainy,Concert,53,Moderate,1
Wednesday,23,Snowy,Festival,54,Moderate,1
Wednesday,12,Sunny,Concert,9,Good,3
Monday,2,Rainy,Concert,24,Bad,2
Friday,15,Snowy,Concert,56,Moderate,1
Monday,5,Sunny,Festival,45,Good,2
Tuesday,18,Cloudy,,15,Moderate,3
Monday,6,Snowy,Festival,58,Bad,3
Wednesday,9,Sunny,Concert,37,Moderate,0
Sunday,8,Snowy,Sports,54,Moderate,4
Monday,1,Snowy,Sports,42,Moderate,3
Friday,14,Snowy,Concert,31,Bad,4
Sunday,4,Snowy,Sports,38,Bad,3
Saturday,21,Snowy,Concert,19,Good,0
Thursday,3,Snowy,Sports,36,Good,4
Monday,19,Sunny,Festival,25,Good,2
Friday,3,Cloudy,,50,Good,3
Sunday,17,Rainy,,9,Good,2
Friday,3,Snowy,Festival,10,Moderate,4
Saturday,16,Rainy,Festival,42,Good,2
Wednesday,11,Sunny,Concert,26,Moderate,0
Friday,21,Snowy,Concert,22,Good,2
Sunday,16,Cloudy,Concert,18,Bad,1
Friday,9,Rainy,Sports,14,Bad,3
Friday,21,Snowy,Concert,50,Bad,1
Friday,0,Sunny,Festival,17,Bad,1
Tuesday,21,Cloudy,,35,Moderate,3
Tuesday,23,Rainy,Sports,34,Good,0
Wednesday,17,Rainy,Concert,7,Moderate,1
Monday,17,Snowy,Sports,34,Bad,4
Friday,13,Cloudy,Sports,10,Good,1
Saturday,14,Cloudy,Concert,33,Good,2
Monday,11,Cloudy,Sports,12,Bad,2
Saturday,3,Cloudy,,48,Bad,4
Monday,2,Sunny,Festival,49,Bad,4
Wednesday,19,Cloudy,Festival,47,Good,0
Friday,11,Rainy,,48,Moderate,0
Friday,6,Rainy,Sports,37,Good,0
Thursday,10,Sunny,Concert,21,Moderate,1
Saturday,0,Rainy,Sports,52,Good,0
Monday,5,Rainy,,15,Bad,2
Monday,14,Cloudy,Sports,17,Good,0
Tuesday,14,Rainy,Festival,54,Bad,2
Thursday,18,Sunny,Sports,15,Moderate,2
Sunday,10,Cloudy,,35,Good,3
Sunday,22,Snowy,Festival,32,Good,1
Tuesday,1,Cloudy,Sports,48,Good,3
Tuesday,13,Sunny,Sports,10,Moderate,3
Tuesday,1,Cloudy,Festival,45,Moderate,3
Saturday,3,Cloudy,Concert,20,Good,2
Saturday,16,Sunny,Festival,8,Bad,2
Wednesday,2,Cloudy,Concert,39,Bad,4
Wednesday,12,Sunny,,52,Bad,0
Tuesday,8,Sunny,,30,Bad,0
Thursday,6,Snowy,Festival,16,Moderate,3
Monday,14,Rainy,Festival,15,Moderate,0
Saturday,22,Rainy,,41,Good,2
Thursday,10,Cloudy,Concert,29,Good,1
Friday,19,Cloudy,,22,Good,1
Saturday,1,Snowy,Festival,23,Moderate,3
Saturday,14,Snowy,,27,Bad,4
Wednesday,13,Snowy,Festival,59,Bad,2
Monday,19,Sunny,Festival,42,Moderate,2
Monday,21,Snowy,,58,Good,1
Sunday,10,Snowy,Concert,22,Bad,3
Sunday,2,Cloudy,Sports,30,Bad,4
Sunday,16,Snowy,,10,Good,1
Sunday,11,Sunny,Sports,8,Bad,0
Friday,23,Sunny,,48,Good,0
Friday,20,Cloudy,Sports,55,Moderate,2
Saturday,14,Snowy,Concert,33,Moderate,3
Tuesday,15,Snowy,Concert,38,Good,3
Wednesday,4,Sunny,,21,Good,0
Wednesday,19,Snowy,Festival,47,Bad,1
Sunday,5,Snowy,Sports,47,Bad,2
Saturday,18,Snowy,Festival,57,Moderate,2
Thursday,4,Rainy,Festival,20,Moderate,2
Tuesday,2,Cloudy,Festival,6,Moderate,0
Saturday,0,Rainy,Concert,38,Moderate,1
Tuesday,5,Cloudy,,59,Good,4
Tuesday,14,Sunny,,12,Moderate,2
Tuesday,1,Snowy,Concert,17,Bad,4
Saturday,2,Cloudy,Concert,46,Bad,0
Sunday,16,Rainy,,12,Moderate,4
Wednesday,23,Snowy,Festival,34,Good,0
Wednesday,11,Sunny,Sports,36,Moderate,0
Sunday,17,Cloudy,Sports,40,Good,2
Tuesday,14,Cloudy,Sports,51,Moderate,3
Thursday,11,Cloudy,Festival,34,Good,4
Monday,15,Snowy,,5,Moderate,2
Saturday,7,Rainy,Concert,47,Bad,2
Monday,13,Rainy,,43,Moderate,0
Sunday,16,Cloudy,Festival,21,Bad,2
Thursday,20,Sunny,Concert,24,Bad,1
Saturday,7,Sunny,Festival,28,Bad,4
Sunday,22,Cloudy,Concert,39,Bad,4
Thursday,9,Cloudy,,15,Good,4
Friday,18,Rainy,Concert,50,Good,0
Sunday,16,Rainy,Sports,54,Good,2
Wednesday,4,Snowy,Concert,25,Bad,3
Friday,3,Cloudy,Concert,25,Good,4
Friday,9,Cloudy,Sports,9,Bad,1
Sunday,23,Sunny,,52,Moderate,3
Tuesday,16,Snowy,Concert,24,Bad,1
Wednesday,9,Snowy,Concert,41,Bad,3
Sunday,16,Sunny,Sports,7,Good,2
Wednesday,19,Snowy,,48,Moderate,1
Wednesday,23,Snowy,Concert,37,Bad,3
Friday,4,Rainy,Sports,57,Bad,0
Thursday,1,Cloudy,Concert,13,Bad,2
Wednesday,5,Snowy,Festival,13,Good,0
Saturday,20,Rainy,Sports,8,Moderate,4
Friday,1,Cloudy,,39,Moderate,0
Tuesday,12,Sunny,,21,Bad,2
Thursday,10,Rainy,,38,Moderate,4
Saturday,10,Rainy,,28,Bad,4
Saturday,15,Cloudy,Concert,36,Moderate,2
Tuesday,10,Sunny,Concert,5,Moderate,4
Thursday,18,Rainy,,12,Good,3
Friday,14,Snowy,,49,Good,0
Monday,22,Snowy,,27,Bad,2
Thursday,22,Snowy,Concert,51,Bad,1
Tuesday,15,Sunny,,44,Good,1
Saturday,10,Rainy,,16,Bad,0
Friday,21,Snowy,Festival,58,Moderate,1
Thursday,15,Sunny,Festival,16,Bad,1
Monday,7,Snowy,,50,Moderate,4
Monday,3,Cloudy,Sports,51,Bad,1
Wednesday,7,Rainy,,19,Good,2
Wednesday,3,Rainy,Festival,45,Moderate,3
Sunday,23,Sunny,Sports,23,Bad,0
Tuesday,2,Sunny,Sports,30,Bad,1
Thursday,2,Rainy,,56,Bad,2
Thursday,17,Snowy,Festival,33,Moderate,1
Sunday,18,Snowy,Festival,26,Bad,2
Saturday,18,Cloudy,Sports,44,Good,2
Saturday,20,Snowy,,25,Moderate,1
Sunday,4,Sunny,Concert,55,Bad,1
Saturday,17,Sunny,Concert,42,Bad,1
Wednesday,9,Snowy,Festival,24,Moderate,2
Thursday,21,Sunny,Concert,33,Bad,0
Sunday,20,Rainy,Festival,55,Moderate,2
Thursday,5,Rainy,Festival,8,Moderate,4
Monday,0,Snowy,Festival,59,Good,2
Wednesday,4,Rainy,Concert,11,Moderate,3
Friday,8,Rainy,Festival,32,Bad,1
Wednesday,11,Cloudy,Sports,32,Good,4
Sunday,13,Cloudy,,8,Bad,2
Friday,1,Rainy,,26,Moderate,4
Monday,16,Snowy,Festival,16,Good,2
Sunday,13,Cloudy,,49,Good,2
Tuesday,12,Sunny,Concert,7,Bad,0
Thursday,8,Sunny,Concert,26,Moderate,0
Monday,14,Sunny,,48,Good,0
Thursday,21,Snowy,Concert,6,Bad,2
Saturday,14,Rainy,,28,Moderate,0
Tuesday,23,Sunny,,38,Moderate,3
Tuesday,10,Snowy,,31,Bad,2
Monday,15,Cloudy,Festival,59,Good,4
Tuesday,16,Rainy,,45,Bad,4
Friday,3,Cloudy,Festival,5,Moderate,2
Tuesday,0,Snowy,,12,Bad,4
Thursday,7,Sunny,,27,Good,1
Thursday,16,Sunny,,42,Moderate,2
Sunday,2,Snowy,Concert,10,Good,1
Thursday,19,Sunny,Festival,26,Bad,0
Sunday,14,Rainy,Festival,29,Good,0
Thursday,14,Snowy,,22,Moderate,1
Friday,23,Cloudy,,21,Bad,1
Sunday,21,Snowy,Concert,16,Moderate,3
Wednesday,13,Rainy,Concert,10,Bad,4
Saturday,22,Rainy,Concert,30,Bad,2
Monday,13,Snowy,Festival,31,Good,1
Thursday,23,Snowy,Festival,12,Bad,4
Tuesday,1,Sunny,Festival,23,Good,0
Thursday,12,Rainy,,46,Bad,1
Tuesday,13,Snowy,Festival,5,Bad,0
Saturday,23,Snowy,Sports,33,Bad,3
Saturday,18,Rainy,Sports,49,Bad,3
Saturday,6,Snowy,Concert,53,Bad,4
Tuesday,2,Sunny,Festival,39,Good,0
Thursday,14,Rainy,Sports,44,Moderate,2
Saturday,22,Sunny,Concert,18,Moderate,2
Friday,13,Sunny,Festival,39,Bad,1
Sunday,10,Sunny,,52,Bad,0
Tuesday,14,Sunny,Sports,49,Good,2
Tuesday,12,Rainy,,24,Bad,3
Thursday,17,Sunny,Festival,53,Good,1
Tuesday,5,Sunny,Sports,17,Bad,0
Tuesday,2,Snowy,Festival,42,Bad,2
Saturday,18,Rainy,,53,Moderate,2
Thursday,14,Rainy,Sports,50,Bad,1
Saturday,22,Cloudy,,53,Moderate,1
Sunday,4,Rainy,Festival,12,Moderate,4
Sunday,9,Rainy,Festival,47,Bad,0
Saturday,6,Cloudy,,24,Good,3
Sunday,16,Rainy,Sports,37,Bad,4
Thursday,6,Rainy,,30,Moderate,0
Monday,21,Rainy,Festival,43,Moderate,3
Saturday,11,Rainy,,25,Bad,0
Friday,16,Cloudy,Festival,57,Good,3
Friday,12,Rainy,,53,Bad,1
Tuesday,19,Rainy,Sports,46,Moderate,0
Sunday,3,Cloudy,Sports,47,Bad,0
Friday,9,Snowy,,58,Moderate,4
Tuesday,2,Sunny,,45,Good,0
Monday,8,Snowy,Sports,13,Bad,1
Thursday,12,Cloudy,Festival,28,Good,1
Thursday,17,Sunny,Sports,41,Moderate,4
Thursday,14,Cloudy,Festival,53,Good,0
Friday,3,Cloudy,,45,Bad,4
Monday,14,Rainy,,21,Bad,0
Friday,21,Sunny,Festival,28,Good,2
Sunday,1,Rainy,,25,Good,4
Friday,14,Sunny,Festival,55,Moderate,1
Monday,7,Cloudy,Concert,43,Good,3
Monday,7,Cloudy,Sports,59,Moderate,1
Sunday,16,Snowy,Concert,45,Good,3
Monday,11,Sunny,Festival,43,Bad,4
Monday,18,Rainy,Sports,17,Good,1
Thursday,9,Snowy,Festival,15,Moderate,0
Sunday,8,Snowy,Sports,50,Moderate,1
Wednesday,4,Snowy,Sports,23,Bad,1
Wednesday,5,Rainy,Sports,15,Good,2
Monday,19,Snowy,Sports,17,Bad,3
Wednesday,1,Rainy,Festival,50,Good,4
Wednesday,23,Snowy,Sports,49,Bad,3
Monday,12,Rainy,Sports,5,Moderate,3
Wednesday,5,Cloudy,Concert,44,Bad,0
Friday,4,Cloudy,,48,Good,1
Tuesday,0,Cloudy,,23,Moderate,4
Sunday,20,Cloudy,Concert,16,Moderate,2
Tuesday,21,Cloudy,Concert,12,Bad,1
Monday,20,Snowy,Festival,12,Bad,2
Thursday,5,Snowy,Festival,57,Moderate,3
Sunday,5,Snowy,Festival,49,Moderate,3
Monday,22,Rainy,Concert,16,Bad,3
Thursday,15,Rainy,Concert,52,Bad,3
Tuesday,3,Rainy,Sports,37,Good,4
Monday,10,Rainy,Festival,49,Bad,4
Sunday,23,Cloudy,Festival,30,Bad,0
Sunday,22,Cloudy,Festival,43,Bad,2
Saturday,8,Cloudy,,32,Good,1
Friday,22,Sunny,Sports,9,Moderate,0
Wednesday,2,Snowy,Festival,12,Moderate,0
Thursday,18,Rainy,Festival,29,Good,3
Saturday,7,Rainy,Festival,31,Good,4
Wednesday,4,Cloudy,,50,Moderate,3
Wednesday,3,Rainy,,27,Bad,0
Monday,23,Rainy,Concert,34,Moderate,2
Wednesday,5,Snowy,Sports,49,Good,2
Friday,1,Cloudy,Concert,51,Moderate,3
Sunday,19,Snowy,Sports,27,Moderate,3
Saturday,10,Sunny,,53,Bad,0
Wednesday,3,Sunny,Festival,51,Good,4
Monday,14,Sunny,Concert,24,Good,1
Friday,5,Cloudy,Festival,22,Good,1
Tuesday,21,Rainy,Concert,22,Bad,4
Sunday,16,Cloudy,,6,Bad,1
Sunday,23,Cloudy,,8,Bad,0
Saturday,5,Rainy,,34,Good,3
Sunday,18,Snowy,Concert,37,Bad,0
Wednesday,1,Sunny,Sports,40,Good,0
Monday,14,Snowy,Concert,22,Good,0
Sunday,10,Sunny,Sports,41,Moderate,3
Sunday,7,Cloudy,Concert,23,Bad,2
Tuesday,18,Sunny,Concert,51,Moderate,4
Tuesday,12,Cloudy,,32,Bad,4
Thursday,11,Snowy,Festival,44,Good,3
Friday,4,Cloudy,Festival,24,Bad,3
Wednesday,5,Snowy,Sports,53,Moderate,0
Sunday,21,Rainy,Festival,37,Bad,3
Sunday,3,Rainy,Concert,16,Good,3
Monday,18,Rainy,Concert,55,Bad,1
Thursday,19,Cloudy,,19,Bad,4
Friday,0,Rainy,,45,Moderate,3
Thursday,19,Sunny,Festival,43,Good,0
Saturday,16,Snowy,Sports,6,Moderate,2
Friday,11,Snowy,Festival,33,Moderate,4
Sunday,14,Sunny,Festival,45,Moderate,0
Sunday,0,Cloudy,Festival,14,Good,1
Friday,13,Cloudy,Festival,6,Good,2
Sunday,5,Snowy,Concert,55,Bad,2
